status,tenant,productCode,sourceType,productType,supportCountryCode,vendorCode,dataPolicyCode,larkProductCode,typeOfSim,operatorCode,purchaseType,skuType,dataType,baseSimEsimSkuCode,importType,supportedCountries,supportedCountryName,dailyResetTime,activationTime,networkType,apnOriginal,apn,onsiteCarrier,localPhoneNumber,localNumberCountry,hotspot,kycCode,kycNeeded,kycLinks,topUpOptions,activation,unsupportedApps,telcoPerks,note,dataPlanType,dateCreated,lastModifiedDate,createdAt,createdBy,updatedAt,updatedBy
Active,US,ECSGP3DB,E,C,SGP,3D,B,ESGP3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,SG,Singapore,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Singapore: Simba,No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878335000,1771818105000,2026-04-19T16:51:25.084Z,,2026-04-30T04:43:03.246Z,
Active,US,ECSGP3DA,E,C,SGP,3D,A,ESGP3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,SG,Singapore,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Singapore: Simba,No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878335000,1771818105000,2026-04-19T16:51:24.572Z,,2026-04-30T04:43:03.246Z,
Active,US,ECSEA3DP,E,C,SEA,3D,P,ESEA3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,"SG,MY,ID","Singapore, Malaysia, Indonesia",Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Singapore: Simba
Malaysia: Celcomdigi, U-mobile
Indonesia: Telkomsel, Indosat",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753866397000,1771818105000,2026-04-19T16:51:24.050Z,,2026-04-30T04:43:03.246Z,
Active,US,ECSEA3DF,E,C,SEA,3D,F,ESEA3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,"SG,MY,ID","Singapore, Malaysia, Indonesia",Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Singapore: Simba
Malaysia: Celcomdigi, U-mobile
Indonesia: Telkomsel, Indosat",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1757401951000,1771818105000,2026-04-19T16:51:23.588Z,,2026-04-30T04:43:03.246Z,
Active,US,ECPHL3DP,E,C,PHL,3D,P,EPHL3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,PH,Philippines,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Philippines: Smart,No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878250000,1771818105000,2026-04-19T16:51:23.139Z,,2026-04-30T04:43:03.246Z,
Active,US,ECPHL3DF,E,C,PHL,3D,F,EPHL3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,PH,Philippines,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Philippines: Smart,No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878273000,1771818105000,2026-04-19T16:51:22.452Z,,2026-04-30T04:43:03.246Z,
Active,US,ECPHL3DB,E,C,PHL,3D,B,ECPHL3DB,eSIM,3HK,API Purchase,Datapack,Fixed Data,AB0003DK00000,Official,PH,Philippines,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Philippines: Smart, Globe",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1776062518000,1776240985000,2026-04-19T16:51:21.929Z,,2026-04-30T04:43:03.246Z,
Temporary,US,ECMYS3DP,E,C,MYS,3D,P,EMYS3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878179000,1771818105000,2026-04-19T16:51:21.343Z,,2026-04-30T04:43:03.246Z,
Active,US,ECMAL3DP,E,C,MAL,3D,P,EMAL3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755068342000,1771818105000,2026-04-19T16:51:20.817Z,,2026-04-30T04:43:03.246Z,
Active,US,ECMAL3DF,E,C,MAL,3D,F,EMAL3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755068345000,1771818105000,2026-04-19T16:51:20.293Z,,2026-04-30T04:43:03.246Z,
Active,US,ECMAL3DB,E,C,MAL,3D,B,EMAL3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755068342000,1771818105000,2026-04-19T16:51:19.770Z,,2026-04-30T04:43:03.246Z,
Active,US,ECMAL3DA,E,C,MAL,3D,A,EMAL3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755068342000,1771818105000,2026-04-19T16:51:19.245Z,,2026-04-30T04:43:03.246Z,
Active,US,ECMAC3DP,E,C,MAC,3D,P,EMAC3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,MO,Macao,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Macao: 3HK,No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878107000,1771818105000,2026-04-19T16:51:18.722Z,,2026-04-30T04:43:03.246Z,
Preparing,US,ECMAC3DF,E,C,MAC,3D,F,EMAC3DF,eSIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLESIM,Official,MO,Macao,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Macao: 3HK,No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878119000,1771818105000,2026-04-19T16:51:18.197Z,,2026-04-30T04:43:03.246Z,
Active,US,ECKOR3DP,E,C,KOR,3D,P,EKOR3DP,eSIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLESIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G/5G,mobile.three.com.hk,gohub.com,"South Korea: SK, LGU",No,[object Object],Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1751878695000,1771818105000,2026-04-19T16:51:17.673Z,,2026-04-30T04:43:03.246Z,
