status,tenant,skuCode,productCode,dataAmountCode,dataAmount,dataAmountUnit,dayAmount,dayAmountUnit,nameVn,nameEn,frameSku,datapackSku,vendorCode,larkSkuCode,larkProductCode,throttleSpeed,call,callSmsDetails,expirations,vendorSku,vendorSkuSim,latestCogs,latestCogsCurrency,originalCost,currency,referenceCostVnd,selectedActualBulkCostVnd,costBaseEsimSim,finalCogsNotIncludedVatVnd,vatForBaseSimCardsVnd,finalCogsIncludedVatVnd,finalCogsUsd,suggestedB2cPrice65MarginVnd,currencyUsd,exchangeRateUsd,suggestedB2cPrice60MarginUsd,wrGroup,dateCreated,lastModifiedDate,purchaseTypeVnView,purchaseTypeUsView
Active,VN,3CANZBCF00515,3CANZBCF,005,5,GB,15,Day(s),"eSIM Úc, New Zealand  05GB 15 Ngày","eSIM Australia, New Zealand 05GB 15 Day(s)",,,BC,EANZBCFY05GB15D,EANZBCF,128 kbps,No,,90,DCANZBCF00515,,84759,VND,22,CNY,85800,,,85800,,85800,3.34,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00810,3CANZBCF,008,8,GB,10,Day(s),"eSIM Úc, New Zealand  08GB 10 Ngày","eSIM Australia, New Zealand 08GB 10 Day(s)",,,BC,EANZBCFY08GB10D,EANZBCF,128 kbps,No,,90,DCANZBCF00810,,115580,VND,30,CNY,117000,,,117000,,117000,4.55,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00530,3CANZBCF,005,5,GB,30,Day(s),"eSIM Úc, New Zealand  05GB 30 Ngày","eSIM Australia, New Zealand 05GB 30 Day(s)",,,BC,EANZBCFY05GB30D,EANZBCF,128 kbps,No,,90,DCANZBCF00530,,88612,VND,23,CNY,89700,,,89700,,89700,3.49,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00303,3CANZBCF,003,3,GB,3,Day(s),"eSIM Úc, New Zealand  02GB 03 Ngày","eSIM Australia, New Zealand 02GB 03 Day(s)",,,BC,EANZBCFY03GB03D,EANZBCF,128 kbps,No,,90,DCANZBCF00303,,42379,VND,11,CNY,42900,,,,,42900,1.67,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00203,3CANZ3DP,002,2,GB,3,Day(s),eSIM Úc - New Zealand 02GB 03 Ngày,eSIM Australia - New Zealand 02GB 03 Day(s),,,3D,EANZ3DPY02GB03D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00203,,66357,VND,15.6,HKD,54132,,15345,69477,,69477,2.7,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00107,3CANZBCF,001,1,GB,7,Day(s),"eSIM Úc, New Zealand  01GB 07 Ngày","eSIM Australia, New Zealand 01GB 07 Day(s)",,,BC,EANZBCFY01GB07D,EANZBCF,128 kbps,No,,90,DCANZBCF00107,,42379,VND,11,CNY,42900,,,42900,,42900,1.67,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00130,3CANZBCF,001,1,GB,30,Day(s),"eSIM Úc, New Zealand  01GB 30 Ngày","eSIM Australia, New Zealand 01GB 30 Day(s)",,,BC,EANZBCFY01GB30D,EANZBCF,128 kbps,No,,90,DCANZBCF00130,,61643,VND,16,CNY,62400,,,62400,,62400,2.43,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DF00530,3CANZ3DF,005,5,GB,30,Day(s),eSIM Úc - New Zealand 05GB 30 Ngày,eSIM Australia - New Zealand 05GB 30 Day(s),,,3D,EANZ3DFY05GB30D,EANZ3DF,256 kbps,No,,60,ECANZ3DF00530,,74049,VND,17.88,HKD,62026.25,,15345,77371.25,,77371.25,3.01,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00805,3CANZBCF,008,8,GB,5,Day(s),"eSIM Úc, New Zealand  08GB 05 Ngày","eSIM Australia, New Zealand 08GB 05 Day(s)",,,BC,EANZBCFY08GB05D,EANZBCF,128 kbps,No,,90,DCANZBCF00805,,100170,VND,26,CNY,101400,,,,,101400,3.95,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Preparing,VN,3CACMBCP5HM30,3CACMBCP,5HM,500,MB,30,Day(s),"eSIM Hoa Kỳ, Canada, Mexico 500MB 30 Ngày","eSIM USA, Canada, Mexico 500MB 30 Day(s)",,,BC,EACMBCPY500M30D,EACMBCP,128 kbps,No,,90,DCACMBCP5HM30,,1512560,VND,392.6,CNY,1531140,,,1531140,,1531140,59.58,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00103,3CANZBCF,001,1,GB,3,Day(s),"eSIM Úc, New Zealand  01GB 03 Ngày","eSIM Australia, New Zealand 01GB 03 Day(s)",,,BC,EANZBCFY01GB03D,EANZBCF,128 kbps,No,,90,DCANZBCF00103,,38527,VND,10,CNY,39000,,,39000,,39000,1.52,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00107,3CANZ3DP,001,1,GB,7,Day(s),eSIM Úc - New Zealand 01GB 07 Ngày,eSIM Australia - New Zealand 01GB 07 Day(s),,,3D,EANZ3DPY01GB07D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00107,,75148,VND,18.2,HKD,63154,,15345,78499,,78499,3.05,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Preparing,VN,3CACMBCP5HM90,3CACMBCP,5HM,500,MB,90,Day(s),"eSIM Hoa Kỳ, Canada, Mexico 500MB 90 Ngày","eSIM USA, Canada, Mexico 500MB 90 Day(s)",,,BC,EACMBCPY500M90D,EACMBCP,128 kbps,No,,90,DCACMBCP5HM90,,4487595,VND,1164.8,CNY,4542720,,,4542720,,4542720,176.76,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00303,3CANZ3DP,003,3,GB,3,Day(s),eSIM Úc - New Zealand 03GB 03 Ngày,eSIM Australia - New Zealand 03GB 03 Day(s),,,3D,EANZ3DPY03GB03D,EANZ3DP,,,,,ECANZ3DP00303,,92728,VND,,,,,,,,,,,,,,,,,,
Active,VN,3CANZBCF00803,3CANZBCF,008,8,GB,3,Day(s),"eSIM Úc, New Zealand  08GB 03 Ngày","eSIM Australia, New Zealand 08GB 03 Day(s)",,,BC,EANZBCFY08GB03D,EANZBCF,128 kbps,No,,90,DCANZBCF00803,,92464,VND,24,CNY,93600,,,93600,,93600,3.64,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Preparing,VN,3CACMBCP5HM29,3CACMBCP,5HM,500,MB,29,Day(s),"eSIM Hoa Kỳ, Canada, Mexico 500MB 29 Ngày","eSIM USA, Canada, Mexico 500MB 29 Day(s)",,,BC,EACMBCPY500M29D,EACMBCP,128 kbps,No,,90,DCACMBCP5HM29,,1462861,VND,379.7,CNY,1480830,,,1480830,,1480830,57.62,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00110,3CANZBCF,001,1,GB,10,Day(s),"eSIM Úc, New Zealand  01GB 10 Ngày","eSIM Australia, New Zealand 01GB 10 Day(s)",,,BC,EANZBCFY01GB10D,EANZBCF,128 kbps,No,,90,DCANZBCF00110,,46232,VND,12,CNY,46800,,,46800,,46800,1.82,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00503,3CANZBCF,005,5,GB,3,Day(s),"eSIM Úc, New Zealand  05GB 03 Ngày","eSIM Australia, New Zealand 05GB 03 Day(s)",,,BC,EANZBCFY05GB03D,EANZBCF,128 kbps,No,,90,DCANZBCF00503,,69348,VND,18,CNY,70200,,,70200,,70200,2.73,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DF02015,3CANZ3DF,020,20,GB,15,Day(s),eSIM Úc - New Zealand 20GB 15 Ngày,eSIM Australia - New Zealand 20GB 15 Day(s),,,3D,EANZ3DFY20GB15D,EANZ3DF,256 kbps,No,,60,ECANZ3DF02015,,255343,VND,71.5,HKD,248105,,15345,263450,,263450,10.25,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00120,3CANZBCF,001,1,GB,20,Day(s),"eSIM Úc, New Zealand  01GB 20 Ngày","eSIM Australia, New Zealand 01GB 20 Day(s)",,,BC,EANZBCFY01GB20D,EANZBCF,128 kbps,No,,90,DCANZBCF00120,,53937,VND,14,CNY,54600,,,54600,,54600,2.12,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00307,3CANZBCF,003,3,GB,7,Day(s),"eSIM Úc, New Zealand  02GB 07 Ngày","eSIM Australia, New Zealand 02GB 07 Day(s)",,,BC,EANZBCFY03GB07D,EANZBCF,128 kbps,No,,90,DCANZBCF00307,,50085,VND,13,CNY,50700,,,50700,,50700,1.97,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00207,3CANZ3DP,002,2,GB,7,Day(s),eSIM Úc - New Zealand 02GB 07 Ngày,eSIM Australia - New Zealand 02GB 07 Day(s),,,3D,EANZ3DPY02GB07D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00207,,136678,VND,36.4,HKD,126308,,15345,141653,,141653,5.51,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZ3DP00105,3CANZ3DP,001,1,GB,5,Day(s),eSIM Úc - New Zealand 01GB 05 Ngày,eSIM Australia - New Zealand 01GB 05 Day(s),,,3D,EANZ3DPY01GB05D,EANZ3DP,,,,,ECANZ3DP00105,,57567,VND,,,,,,,,,,,,,,,,,,
Active,VN,3CANZ3DF01015,3CANZ3DF,010,10,GB,15,Day(s),eSIM Úc - New Zealand 10GB 15 Ngày,eSIM Australia - New Zealand 10GB 15 Day(s),,,3D,EANZ3DFY10GB15D,EANZ3DF,256 kbps,No,,60,ECANZ3DF01015,,134480,VND,35.75,HKD,124052.5,,15345,139397.5,,139397.5,5.42,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00510,3CANZBCF,005,5,GB,10,Day(s),"eSIM Úc, New Zealand  05GB 10 Ngày","eSIM Australia, New Zealand 05GB 10 Day(s)",,,BC,EANZBCFY05GB10D,EANZBCF,128 kbps,No,,90,DCANZBCF00510,,80906,VND,21,CNY,81900,,,81900,,81900,3.19,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00115,3CANZBCF,001,1,GB,15,Day(s),"eSIM Úc, New Zealand  01GB 15 Ngày","eSIM Australia, New Zealand 01GB 15 Day(s)",,,BC,EANZBCFY01GB15D,EANZBCF,128 kbps,No,,90,DCANZBCF00115,,50085,VND,13,CNY,50700,,,50700,,50700,1.97,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00307,3CANZ3DP,003,3,GB,7,Day(s),eSIM Úc - New Zealand 03GB 07 Ngày,eSIM Australia - New Zealand 03GB 07 Day(s),,,3D,EANZ3DPY03GB07D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00307,,198208,VND,54.6,HKD,189462,,15345,204807,,204807,7.97,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZ3DP00103,3CANZ3DP,001,1,GB,3,Day(s),eSIM Úc - New Zealand 01GB 03 Ngày,eSIM Australia - New Zealand 01GB 03 Day(s),,,3D,EANZ3DPY01GB03D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00103,,39987,VND,7.8,HKD,27066,,15345,42411,,42411,1.65,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZ3DP00305,3CANZ3DP,003,3,GB,5,Day(s),eSIM Úc - New Zealand 03GB 05 Ngày,eSIM Australia - New Zealand 03GB 05 Day(s),,,3D,EANZ3DPY03GB05D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00305,,145468,VND,39,HKD,135330,,15345,150675,,150675,5.86,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00105,3CANZBCF,001,1,GB,5,Day(s),"eSIM Úc, New Zealand  01GB 05 Ngày","eSIM Australia, New Zealand 01GB 05 Day(s)",,,BC,EANZBCFY01GB05D,EANZBCF,128 kbps,No,,90,DCANZBCF00105,,40453,VND,10.5,CNY,40950,,,40950,,40950,1.59,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00310,3CANZ3DP,003,3,GB,10,Day(s),eSIM Úc - New Zealand 03GB 10 Ngày,eSIM Australia - New Zealand 03GB 10 Day(s),,,3D,EANZ3DPY03GB10D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00310,,277319,VND,78,HKD,270660,,15345,286005,,286005,11.13,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZ3DP00110,3CANZ3DP,001,1,GB,10,Day(s),eSIM Úc - New Zealand 01GB 10 Ngày,eSIM Australia - New Zealand 01GB 10 Day(s),,,3D,EANZ3DPY01GB10D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00110,,101518,VND,26,HKD,90220,,15345,105565,,105565,4.11,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZ3DP00210,3CANZ3DP,002,2,GB,10,Day(s),eSIM Úc - New Zealand 02GB 10 Ngày,eSIM Australia - New Zealand 02GB 10 Day(s),,,3D,EANZ3DPY02GB10D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00210,,189418,VND,52,HKD,180440,,15345,195785,,195785,7.62,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZ3DF00515,3CANZ3DF,005,5,GB,15,Day(s),eSIM Úc - New Zealand 05GB 15 Ngày,eSIM Australia - New Zealand 05GB 15 Day(s),,,3D,EANZ3DFY05GB15D,EANZ3DF,256 kbps,No,,60,ECANZ3DF00515,,74049,VND,17.88,HKD,62026.25,,15345,77371.25,,77371.25,3.01,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00310,3CANZBCF,003,3,GB,10,Day(s),"eSIM Úc, New Zealand  02GB 10 Ngày","eSIM Australia, New Zealand 02GB 10 Day(s)",,,BC,EANZBCFY03GB10D,EANZBCF,128 kbps,No,,90,DCANZBCF00310,,53937,VND,14,CNY,54600,,,,,54600,2.12,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00330,3CANZBCF,003,3,GB,30,Day(s),"eSIM Úc, New Zealand  02GB 30 Ngày","eSIM Australia, New Zealand 02GB 30 Day(s)",,,BC,EANZBCFY03GB30D,EANZBCF,128 kbps,No,,90,DCANZBCF00330,,63569,VND,16.5,CNY,64350,,,64350,,64350,2.5,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DF01030,3CANZ3DF,010,10,GB,30,Day(s),eSIM Úc - New Zealand 10GB 30 Ngày,eSIM Australia - New Zealand 10GB 30 Day(s),,,3D,EANZ3DFY10GB30D,EANZ3DF,256 kbps,No,,60,ECANZ3DF01030,,134480,VND,35.75,HKD,124052.5,,15345,139397.5,,139397.5,5.42,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00507,3CANZBCF,005,5,GB,7,Day(s),"eSIM Úc, New Zealand  05GB 07 Ngày","eSIM Australia, New Zealand 05GB 07 Day(s)",,,BC,EANZBCFY05GB07D,EANZBCF,128 kbps,No,,90,DCANZBCF00507,,77053,VND,20,CNY,78000,,,,,78000,3.04,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DP00205,3CANZ3DP,002,2,GB,5,Day(s),eSIM Úc - New Zealand 02GB 05 Ngày,eSIM Australia - New Zealand 02GB 05 Day(s),,,3D,EANZ3DPY02GB05D,EANZ3DP,256 kbps,No,,60,ECANZ3DP00205,,101518,VND,26,HKD,90220,,15345,105565,,105565,4.11,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00320,3CANZBCF,003,3,GB,20,Day(s),"eSIM Úc, New Zealand  02GB 20 Ngày","eSIM Australia, New Zealand 02GB 20 Day(s)",,,BC,EANZBCFY03GB20D,EANZBCF,128 kbps,No,,90,DCANZBCF00320,,59716,VND,15.5,CNY,60450,,,,,60450,2.35,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZBCF00315,3CANZBCF,003,3,GB,15,Day(s),"eSIM Úc, New Zealand  02GB 15 Ngày","eSIM Australia, New Zealand 02GB 15 Day(s)",,,BC,EANZBCFY03GB15D,EANZBCF,128 kbps,No,,90,DCANZBCF00315,,57790,VND,15,CNY,58500,,,58500,,58500,2.28,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Active,VN,3CANZ3DF02030,3CANZ3DF,020,20,GB,30,Day(s),eSIM Úc - New Zealand 20GB 30 Ngày,eSIM Australia - New Zealand 20GB 30 Day(s),,,3D,EANZ3DFY20GB30D,EANZ3DF,256 kbps,No,,60,ECANZ3DF02030,,255343,VND,71.5,HKD,248105,,15345,263450,,263450,10.25,,USD,26500,,,1768810499000,1774607483000,14 - VN Datapool,24 - US Datapool
Active,VN,3CANZBCF00305,3CANZBCF,003,3,GB,5,Day(s),"eSIM Úc, New Zealand  02GB 05 Ngày","eSIM Australia, New Zealand 02GB 05 Day(s)",,,BC,EANZBCFY03GB05D,EANZBCF,128 kbps,No,,90,DCANZBCF00305,,46232,VND,12,CNY,46800,,,,,46800,1.82,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Preparing,VN,3CACMBCP5HM60,3CACMBCP,5HM,500,MB,60,Day(s),"eSIM Hoa Kỳ, Canada, Mexico 500MB 60 Ngày","eSIM USA, Canada, Mexico 500MB 60 Day(s)",,,BC,EACMBCPY500M60D,EACMBCP,128 kbps,No,,90,DCACMBCP5HM60,,3000078,VND,778.7,CNY,3036930,,,,,3036930,118.17,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
Preparing,VN,3CACMBCP5HM28,3CACMBCP,5HM,500,MB,28,Day(s),"eSIM Hoa Kỳ, Canada, Mexico 500MB 28 Ngày","eSIM USA, Canada, Mexico 500MB 28 Day(s)",,,BC,EACMBCPY500M28D,EACMBCP,128 kbps,No,,90,DCACMBCP5HM28,,1413546,VND,366.9,CNY,1430910,,,1430910,,1430910,55.68,,USD,26500,,,1744788925000,1774320684000,12 - VN Internal GHI,23- US Telco Balance
