wmproductId,productId,product name,region,type,cost price (NT),selling price (NT),original product name,leSIM,,,,,,,,,,,
WM-e-EU-D-T10-15D,LeSIM-11170015,"BICS Europe, 15 Days, 10GB, 128kbps",Europe,eSIM,313,,"BICS Europe, 15 Days, 10GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-15D,LeSIM-11200015,"BICS Europe, 15 Days, 10GB /day, 128kbps",Europe,eSIM,1104,,"BICS Europe, 15 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-15D,LeSIM-11140015,"BICS Europe, 15 Days, 1GB /day, 128kbps",Europe,eSIM,341,,"BICS Europe, 15 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T20-15D,LeSIM-11180015,"BICS Europe, 15 Days, 20GB, 128kbps",Europe,eSIM,589,,"BICS Europe, 15 Days, 20GB, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-15D,LeSIM-11150015,"BICS Europe, 15 Days, 2GB /day, 128kbps",Europe,eSIM,635,,"BICS Europe, 15 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-15D,LeSIM-11160015,"BICS Europe, 15 Days, 3GB /day, 128kbps",Europe,eSIM,851,,"BICS Europe, 15 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T5-15D,LeSIM-11190015,"BICS Europe, 15 Days, 5GB, 128kbps",Europe,eSIM,203,,"BICS Europe, 15 Days, 5GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-16D,LeSIM-11200016,"BICS Europe, 16 Days, 10GB /day, 128kbps",Europe,eSIM,1396,,"BICS Europe, 16 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-16D,LeSIM-11140016,"BICS Europe, 16 Days, 1GB /day, 128kbps",Europe,eSIM,402,,"BICS Europe, 16 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-16D,LeSIM-11150016,"BICS Europe, 16 Days, 2GB /day, 128kbps",Europe,eSIM,783,,"BICS Europe, 16 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-16D,LeSIM-11160016,"BICS Europe, 16 Days, 3GB /day, 128kbps",Europe,eSIM,1068,,"BICS Europe, 16 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-17D,LeSIM-11200017,"BICS Europe, 17 Days, 10GB /day, 128kbps",Europe,eSIM,1407,,"BICS Europe, 17 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-17D,LeSIM-11140017,"BICS Europe, 17 Days, 1GB /day, 128kbps",Europe,eSIM,413,,"BICS Europe, 17 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-17D,LeSIM-11150017,"BICS Europe, 17 Days, 2GB /day, 128kbps",Europe,eSIM,794,,"BICS Europe, 17 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-17D,LeSIM-11160017,"BICS Europe, 17 Days, 3GB /day, 128kbps",Europe,eSIM,1079,,"BICS Europe, 17 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-18D,LeSIM-11200018,"BICS Europe, 18 Days, 10GB /day, 128kbps",Europe,eSIM,1417,,"BICS Europe, 18 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-18D,LeSIM-11140018,"BICS Europe, 18 Days, 1GB /day, 128kbps",Europe,eSIM,423,,"BICS Europe, 18 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-18D,LeSIM-11150018,"BICS Europe, 18 Days, 2GB /day, 128kbps",Europe,eSIM,804,,"BICS Europe, 18 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-18D,LeSIM-11160018,"BICS Europe, 18 Days, 3GB /day, 128kbps",Europe,eSIM,1089,,"BICS Europe, 18 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-19D,LeSIM-11200019,"BICS Europe, 19 Days, 10GB /day, 128kbps",Europe,eSIM,1428,,"BICS Europe, 19 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-19D,LeSIM-11140019,"BICS Europe, 19 Days, 1GB /day, 128kbps",Europe,eSIM,434,,"BICS Europe, 19 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-19D,LeSIM-11150019,"BICS Europe, 19 Days, 2GB /day, 128kbps",Europe,eSIM,815,,"BICS Europe, 19 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-19D,LeSIM-11160019,"BICS Europe, 19 Days, 3GB /day, 128kbps",Europe,eSIM,1100,,"BICS Europe, 19 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-2D,LeSIM-11200002,"BICS Europe, 2 Days, 10GB /day, 128kbps",Europe,eSIM,222,,"BICS Europe, 2 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-2D,LeSIM-11140002,"BICS Europe, 2 Days, 1GB /day, 128kbps",Europe,eSIM,74,,"BICS Europe, 2 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-2D,LeSIM-11150002,"BICS Europe, 2 Days, 2GB /day, 128kbps",Europe,eSIM,127,,"BICS Europe, 2 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-2D,LeSIM-11160002,"BICS Europe, 2 Days, 3GB /day, 128kbps",Europe,eSIM,169,,"BICS Europe, 2 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-20D,LeSIM-11200020,"BICS Europe, 20 Days, 10GB /day, 128kbps",Europe,eSIM,1463,,"BICS Europe, 20 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-20D,LeSIM-11140020,"BICS Europe, 20 Days, 1GB /day, 128kbps",Europe,eSIM,447,,"BICS Europe, 20 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-20D,LeSIM-11150020,"BICS Europe, 20 Days, 2GB /day, 128kbps",Europe,eSIM,842,,"BICS Europe, 20 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-20D,LeSIM-11160020,"BICS Europe, 20 Days, 3GB /day, 128kbps",Europe,eSIM,1127,,"BICS Europe, 20 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-21D,LeSIM-11200021,"BICS Europe, 21 Days, 10GB /day, 128kbps",Europe,eSIM,1946,,"BICS Europe, 21 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-21D,LeSIM-11140021,"BICS Europe, 21 Days, 1GB /day, 128kbps",Europe,eSIM,561,,"BICS Europe, 21 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-21D,LeSIM-11150021,"BICS Europe, 21 Days, 2GB /day, 128kbps",Europe,eSIM,1132,,"BICS Europe, 21 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-21D,LeSIM-11160021,"BICS Europe, 21 Days, 3GB /day, 128kbps",Europe,eSIM,1460,,"BICS Europe, 21 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-22D,LeSIM-11200022,"BICS Europe, 22 Days, 10GB /day, 128kbps",Europe,eSIM,1967,,"BICS Europe, 22 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-22D,LeSIM-11140022,"BICS Europe, 22 Days, 1GB /day, 128kbps",Europe,eSIM,571,,"BICS Europe, 22 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-22D,LeSIM-11150022,"BICS Europe, 22 Days, 2GB /day, 128kbps",Europe,eSIM,1142,,"BICS Europe, 22 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-22D,LeSIM-11160022,"BICS Europe, 22 Days, 3GB /day, 128kbps",Europe,eSIM,1481,,"BICS Europe, 22 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-23D,LeSIM-11200023,"BICS Europe, 23 Days, 10GB /day, 128kbps",Europe,eSIM,1988,,"BICS Europe, 23 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-23D,LeSIM-11140023,"BICS Europe, 23 Days, 1GB /day, 128kbps",Europe,eSIM,582,,"BICS Europe, 23 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-23D,LeSIM-11150023,"BICS Europe, 23 Days, 2GB /day, 128kbps",Europe,eSIM,1153,,"BICS Europe, 23 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-23D,LeSIM-11160023,"BICS Europe, 23 Days, 3GB /day, 128kbps",Europe,eSIM,1502,,"BICS Europe, 23 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-24D,LeSIM-11200024,"BICS Europe, 24 Days, 10GB /day, 128kbps",Europe,eSIM,2009,,"BICS Europe, 24 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-24D,LeSIM-11140024,"BICS Europe, 24 Days, 1GB /day, 128kbps",Europe,eSIM,593,,"BICS Europe, 24 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-24D,LeSIM-11150024,"BICS Europe, 24 Days, 2GB /day, 128kbps",Europe,eSIM,1163,,"BICS Europe, 24 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-24D,LeSIM-11160024,"BICS Europe, 24 Days, 3GB /day, 128kbps",Europe,eSIM,1523,,"BICS Europe, 24 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-25D,LeSIM-11200025,"BICS Europe, 25 Days, 10GB /day, 128kbps",Europe,eSIM,2030,,"BICS Europe, 25 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-25D,LeSIM-11140025,"BICS Europe, 25 Days, 1GB /day, 128kbps",Europe,eSIM,603,,"BICS Europe, 25 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-25D,LeSIM-11150025,"BICS Europe, 25 Days, 2GB /day, 128kbps",Europe,eSIM,1174,,"BICS Europe, 25 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-25D,LeSIM-11160025,"BICS Europe, 25 Days, 3GB /day, 128kbps",Europe,eSIM,1544,,"BICS Europe, 25 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-26D,LeSIM-11200026,"BICS Europe, 26 Days, 10GB /day, 128kbps",Europe,eSIM,2052,,"BICS Europe, 26 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-26D,LeSIM-11140026,"BICS Europe, 26 Days, 1GB /day, 128kbps",Europe,eSIM,614,,"BICS Europe, 26 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-26D,LeSIM-11150026,"BICS Europe, 26 Days, 2GB /day, 128kbps",Europe,eSIM,1185,,"BICS Europe, 26 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-26D,LeSIM-11160026,"BICS Europe, 26 Days, 3GB /day, 128kbps",Europe,eSIM,1565,,"BICS Europe, 26 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-27D,LeSIM-11200027,"BICS Europe, 27 Days, 10GB /day, 128kbps",Europe,eSIM,2073,,"BICS Europe, 27 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-27D,LeSIM-11140027,"BICS Europe, 27 Days, 1GB /day, 128kbps",Europe,eSIM,624,,"BICS Europe, 27 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-27D,LeSIM-11150027,"BICS Europe, 27 Days, 2GB /day, 128kbps",Europe,eSIM,1195,,"BICS Europe, 27 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
